19:42:05.034, SCHEDULER, SCHEDULER_RESPONSE, 37.0, Response time of Scheduler (ms) [STATE: FIRE]
19:44:38.881, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:44:38.881, SCHEDULER, SCHEDULER_RESPONSE, 109918.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:44:38.882, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: IDLE]
19:44:42.035, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:44:58.062, SCHEDULER, SCHEDULER_RESPONSE, 16.0, Response time of Scheduler (ms) [STATE: FIRE]
19:45:07.903, DRONE 600, DRONE_RESPONSE, 2.0, Response time of DroneSubsystem (ms)
19:45:07.906, DRONE 600, DRONE_RESPONSE, 0.0, Response time of DroneSubsystem (ms)
19:45:07.906, [DRONE 600 -> ZONE 5], DRONE_TRAVELS, 803.51, Required distance to reach target fire (m)
19:45:07.903, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:45:07.903, SCHEDULER, SCHEDULER_RESPONSE, 109917.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:45:07.904, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:45:07.903, FIRE 5, FIRE_EXTINGUISHED, 109918.0, Time taken to extinguish fire (ms)
19:45:07.904, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 109921.0, Response time of FireIncidentSubsystem (ms)
19:45:09.484, DRONE 999, DRONE_RESPONSE, 0.0, Response time of DroneSubsystem (ms)
19:45:09.485, [DRONE 999 -> ZONE 4], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:45:09.486, DRONE 900, DRONE_RESPONSE, 187263.0, Response time of DroneSubsystem (ms)
19:45:09.486, [DRONE 900 -> ZONE 3], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:45:09.485, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: IDLE]
19:45:17.061, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:45:20.280, [DRONE 100 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:45:24.911, [DRONE 800 -> ZONE 0], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:45:25.206, [DRONE 300 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:45:31.068, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:45:53.081, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: FIRE]
19:45:56.952, [DRONE 200 -> ZONE 0], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:46:06.381, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:46:06.381, SCHEDULER, SCHEDULER_RESPONSE, 184405.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:46:06.382, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:46:06.381, FIRE 4, FIRE_EXTINGUISHED, 184405.0, Time taken to extinguish fire (ms)
19:46:06.381, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 184409.0, Response time of FireIncidentSubsystem (ms)
19:46:06.381, DRONE 100, DRONE_RESPONSE, 2.0, Response time of DroneSubsystem (ms)
19:46:06.382, DRONE 100, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:46:06.383, [DRONE 100 -> ZONE 4], DRONE_TRAVELS, 976.28, Required distance to reach target fire (m)
19:46:11.307, FIRE 7, FIRE_EXTINGUISHED, 138298.0, Time taken to extinguish fire (ms)
19:46:11.307, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 138301.0, Response time of FireIncidentSubsystem (ms)
19:46:11.307, DRONE 300, DRONE_RESPONSE, 3.0, Response time of DroneSubsystem (ms)
19:46:11.307, [DRONE 300 -> ZONE 0], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:46:11.307, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:46:11.307, SCHEDULER, SCHEDULER_RESPONSE, 138298.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:46:28.256, [DRONE 600 -> ZONE 0], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:46:28.799, [DRONE 400 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:46:39.084, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:46:57.424, FIRE 11, FIRE_EXTINGUISHED, 119362.0, Time taken to extinguish fire (ms)
19:46:57.425, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 119382.0, Response time of FireIncidentSubsystem (ms)
19:46:57.407, DRONE 300, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:46:57.407, [DRONE 300 -> ZONE 5], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:46:57.424, DRONE 900, DRONE_RESPONSE, 3.0, Response time of DroneSubsystem (ms)
19:46:57.425, DRONE 900, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:46:57.425, [DRONE 900 -> ZONE 0], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:46:57.407, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:46:57.424, SCHEDULER, SCHEDULER_RESPONSE, 2.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:46:57.424, SCHEDULER, SCHEDULER_RESPONSE, 119362.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:46:57.425, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:47:14.826, [DRONE 800 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:47:32.777, SCHEDULER, SCHEDULER_RESPONSE, 2.0, Response time of Scheduler (ms) [STATE: FAULT]
19:47:44.012, [DRONE 100 -> ZONE 0], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:47:44.889, [DRONE 200 -> ZONE 3], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:48:18.717, SCHEDULER, SCHEDULER_RESPONSE, 341759.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:48:18.717, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:48:18.718, FIRE 2, FIRE_EXTINGUISHED, 341760.0, Time taken to extinguish fire (ms)
19:48:18.718, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 341761.0, Response time of FireIncidentSubsystem (ms)
19:48:18.718, DRONE 400, DRONE_RESPONSE, 3.0, Response time of DroneSubsystem (ms)
19:48:18.719, [DRONE 400 -> ZONE 0], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:48:45.362, [DRONE 900 -> ZONE 3], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:49:04.742, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:49:04.743, SCHEDULER, SCHEDULER_RESPONSE, 329747.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:49:04.743, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:49:04.742, DRONE 800, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:49:04.743, FIRE 6, FIRE_EXTINGUISHED, 329748.0, Time taken to extinguish fire (ms)
19:49:04.743, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 329750.0, Response time of FireIncidentSubsystem (ms)
19:49:32.827, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:49:32.827, SCHEDULER, SCHEDULER_RESPONSE, 323812.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:49:32.828, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:49:32.827, DRONE 200, DRONE_RESPONSE, 2.0, Response time of DroneSubsystem (ms)
19:49:32.828, DRONE 800, DRONE_RESPONSE, 28085.0, Response time of DroneSubsystem (ms)
19:49:32.829, [DRONE 800 -> ZONE 4], DRONE_TRAVELS, 650.0, Required distance to reach target fire (m)
19:49:32.827, FIRE 8, FIRE_EXTINGUISHED, 323812.0, Time taken to extinguish fire (ms)
19:49:32.828, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 323815.0, Response time of FireIncidentSubsystem (ms)
19:49:37.531, [DRONE 600 -> ZONE 5], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:50:06.684, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: FAULT]
19:50:07.300, [DRONE 100 -> ZONE 4], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:50:08.636, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: IDLE]
19:50:08.635, DRONE 400, DRONE_RESPONSE, 0.0, Response time of DroneSubsystem (ms)
19:50:08.636, [DRONE 400 -> ZONE 5], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:50:08.637, DRONE 200, DRONE_RESPONSE, 35810.0, Response time of DroneSubsystem (ms)
19:50:08.637, [DRONE 200 -> ZONE 5], DRONE_TRAVELS, 1726.99, Required distance to reach target fire (m)
19:50:33.299, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:50:33.300, SCHEDULER, SCHEDULER_RESPONSE, 280218.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:50:33.300, DRONE 900, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:50:33.300, [DRONE 900 -> ZONE 0], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:50:33.300, FIRE 14, FIRE_EXTINGUISHED, 280219.0, Time taken to extinguish fire (ms)
19:50:33.300, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 280220.0, Response time of FireIncidentSubsystem (ms)
19:50:37.831, DRONE 800, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:50:37.831, [DRONE 800 -> ZONE 0], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:50:37.831, FIRE 9, FIRE_EXTINGUISHED, 373807.0, Time taken to extinguish fire (ms)
19:50:37.831, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 373809.0, Response time of FireIncidentSubsystem (ms)
19:50:37.831, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:50:37.831, SCHEDULER, SCHEDULER_RESPONSE, 373806.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:52:30.588, [DRONE 100 -> ZONE 0], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:52:46.807, [DRONE 600 -> ZONE 0], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:53:01.337, [DRONE 200 -> ZONE 0], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:53:17.912, DRONE 400, DRONE_RESPONSE, 2.0, Response time of DroneSubsystem (ms)
19:53:17.912, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:53:17.912, SCHEDULER, SCHEDULER_RESPONSE, 398827.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:53:17.912, FIRE 15, FIRE_EXTINGUISHED, 398828.0, Time taken to extinguish fire (ms)
19:53:17.912, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 398830.0, Response time of FireIncidentSubsystem (ms)
19:54:53.876, [DRONE 100 -> ZONE 4], DRONE_TRAVELS, 1432.87, Required distance to reach target fire (m)
19:55:56.083, [DRONE 600 -> ZONE 5], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:56:10.612, [DRONE 200 -> ZONE 5], DRONE_TRAVELS, 1892.75, Required distance to reach target fire (m)
19:57:17.183, SCHEDULER, SCHEDULER_RESPONSE, 706114.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:57:17.183, SCHEDULER, SCHEDULER_RESPONSE, 14.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:57:17.183, FIRE 13, FIRE_EXTINGUISHED, 706115.0, Time taken to extinguish fire (ms)
19:57:17.184, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 706117.0, Response time of FireIncidentSubsystem (ms)
19:57:17.184, DRONE 100, DRONE_RESPONSE, 17.0, Response time of DroneSubsystem (ms)
19:59:05.364, SCHEDULER, SCHEDULER_RESPONSE, 3.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:59:05.364, SCHEDULER, SCHEDULER_RESPONSE, 863329.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:59:05.364, DRONE 600, DRONE_RESPONSE, 5.0, Response time of DroneSubsystem (ms)
19:59:05.364, FIRE 10, FIRE_EXTINGUISHED, 863329.0, Time taken to extinguish fire (ms)
19:59:05.365, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 863331.0, Response time of FireIncidentSubsystem (ms)
19:59:19.889, DRONE 200, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:59:19.889, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:59:19.889, SCHEDULER, SCHEDULER_RESPONSE, 842827.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
